iter	Logloss
0	0.6291194467
1	0.589410281
2	0.5494885928
3	0.5243650302
4	0.5023647233
5	0.4840780552
6	0.4685770431
7	0.4532844206
8	0.4392399807
9	0.4288519914
10	0.4194990524
11	0.4130595092
12	0.407447185
13	0.4002830779
14	0.3947059921
15	0.3907836938
16	0.3864518989
17	0.3813328236
18	0.3771653032
19	0.3734842901
20	0.3697431242
21	0.3665477538
22	0.3634080325
23	0.360798534
24	0.3587293557
25	0.3563757185
26	0.3542799204
27	0.3520361924
28	0.3500736954
29	0.3482150324
30	0.3467360203
31	0.3449417685
32	0.3431981965
33	0.3417667538
34	0.3396563944
35	0.3381806076
36	0.336748109
37	0.3351272684
38	0.3339116602
39	0.3327102797
40	0.3315349183
41	0.3304631332
42	0.3294608453
43	0.3284800979
44	0.3272848194
45	0.3262126766
46	0.3243095638
47	0.3234980364
48	0.3225360762
49	0.3218054081
50	0.3205610607
51	0.31975442
52	0.3188850603
53	0.3181925822
54	0.3173405268
55	0.3165929848
56	0.3158985837
57	0.3151483615
58	0.3144309726
59	0.3137941711
60	0.3130290516
61	0.3123819915
62	0.3115915621
63	0.3109174287
64	0.3102844874
65	0.3096431064
66	0.3089538596
67	0.3083819787
68	0.3078410616
69	0.3066804528
70	0.3057688121
71	0.3052056118
72	0.3046940944
73	0.3038613541
74	0.3033584968
75	0.3027371503
76	0.3022637703
77	0.3017874651
78	0.301209891
79	0.3007006468
80	0.3002240419
81	0.2997230935
82	0.2992028988
83	0.2987694768
84	0.2983378028
85	0.297912197
86	0.2974831863
87	0.2970801471
88	0.2965459592
89	0.2953676953
90	0.2949961512
91	0.2945579179
92	0.2942026653
93	0.2938008009
94	0.2934189256
95	0.2928574171
96	0.2924482308
97	0.292074306
98	0.2917593941
99	0.2913602328
100	0.29100556
101	0.2906339469
102	0.2902666647
103	0.2899085773
104	0.2894424616
105	0.2886981017
106	0.2883173478
107	0.2875836705
108	0.2872251587
109	0.2868793797
110	0.2865521774
111	0.2862082924
112	0.2858003877
113	0.2854458003
114	0.2851437566
115	0.2847950487
116	0.2844563716
117	0.2842084458
118	0.2838449573
119	0.2835885495
120	0.283287329
121	0.2829444504
122	0.2826579198
123	0.2823762322
124	0.2820984986
125	0.2818311955
126	0.2815651377
127	0.2812906211
128	0.2810283997
129	0.2807436859
130	0.2804344102
131	0.2801946716
132	0.2799434968
133	0.2796311189
134	0.2794153399
135	0.2789389931
136	0.2786512415
137	0.2783162516
138	0.2780472721
139	0.2778090571
140	0.2776000815
141	0.2773469574
142	0.2771260788
143	0.2769088983
144	0.2767089078
145	0.2764626969
146	0.2760137662
147	0.2758223307
148	0.275389243
149	0.275149147
150	0.2749578154
151	0.2747154329
152	0.2744853178
153	0.2742488269
154	0.2740658553
155	0.2736292211
156	0.2734385907
157	0.2732746849
158	0.2730628466
159	0.2728197477
160	0.272634604
161	0.2724218615
162	0.2722178965
163	0.2720180223
164	0.2717081623
165	0.2714882982
166	0.2713171071
167	0.2710760299
168	0.2707903576
169	0.2706493274
170	0.2704699777
171	0.2702817434
172	0.2700951803
173	0.2698798908
174	0.2696622917
175	0.269475199
176	0.2691106757
177	0.2689282472
178	0.2687732245
179	0.2685619977
180	0.2683689158
181	0.2681766684
182	0.2680032481
183	0.2678349781
184	0.2676357545
185	0.2674714534
186	0.267316144
187	0.2671473404
188	0.2669620629
189	0.266636879
190	0.2664813033
191	0.2663466138
192	0.2662020121
193	0.2660530159
194	0.2658937976
195	0.2657534677
196	0.2656095386
197	0.2654612335
198	0.2649931446
199	0.2648336903
200	0.2646850902
201	0.2644786529
202	0.2643191942
203	0.2641752808
204	0.2639945993
205	0.263829964
206	0.2636919093
207	0.2630471826
208	0.2628961105
209	0.262501451
210	0.2623452394
211	0.262187962
212	0.2619896091
213	0.261583525
214	0.2614349076
215	0.2612593377
216	0.2610681752
217	0.2608928271
218	0.2607516936
219	0.2606028964
220	0.2604811618
221	0.2603402307
222	0.2601931107
223	0.2600537542
224	0.2599158429
225	0.2597356126
226	0.2596183424
227	0.2594374295
228	0.2592749786
229	0.2590149496
230	0.2588593072
231	0.2587162001
232	0.2584849871
233	0.2583232523
234	0.2581954131
235	0.2580436727
236	0.2579019454
237	0.2574793871
238	0.2573621496
239	0.257085392
240	0.256903035
241	0.2567630425
242	0.256613527
243	0.2564704701
244	0.2562821865
245	0.2561321706
246	0.2559939052
247	0.2557699574
248	0.2555993445
249	0.2554530798
250	0.2552959397
251	0.2551631177
252	0.2550204681
253	0.2548630933
254	0.254678456
255	0.2545098108
256	0.254376202
257	0.2542594544
258	0.2541324568
259	0.2539666559
260	0.2537916047
261	0.2536927567
262	0.253516332
263	0.2533788002
264	0.2532001332
265	0.2530727947
266	0.2528759162
267	0.2527068029
268	0.2525164239
269	0.2522964334
270	0.2521596212
271	0.252020556
272	0.2519197184
273	0.25176714
274	0.2516170923
275	0.2514919544
276	0.2513731707
277	0.2511952708
278	0.2510400676
279	0.2509046232
280	0.250696158
281	0.2505871081
282	0.250445904
283	0.250321218
284	0.2502220546
285	0.2500849699
286	0.2499660333
287	0.2498522407
288	0.2497020111
289	0.2494772402
290	0.2493184555
291	0.2491742305
292	0.2490500048
293	0.2489208219
294	0.248795083
295	0.2486747384
296	0.2485004247
297	0.2483448762
298	0.2482221922
299	0.2481007386
